source_id,task,precision,modality,horizon,source_n,native_mse,metric,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high,missing_reason
S16,reach-wall,float32,visual,6,27,0.2065858675419916,additive_quadratic_cross,-1.1668585649213143e-05,-1.693732436550043e-05,-6.995621020188838e-06,27,-0.0056482981086987145,-0.008132497349526684,-0.003347066710916583,
S16,reach-wall,float32,visual,6,27,0.2065858675419916,nonadditive_mse_remainder,6.359996418274179e-06,3.922314621197588e-06,9.641761445790933e-06,27,0.0030786212503047506,0.0019227388362137812,0.004523160452135662,
S27,pusht,bfloat16,proprio,1,21,0.00016826928547397443,factorial_from_arm_losses,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,proprio,1,21,0.00016826928547397443,output_interaction_mse,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,proprio,1,21,0.00016826928547397443,additive_quadratic_cross,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,proprio,1,21,0.00016826928547397443,nonadditive_mse_remainder,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,proprio,2,21,0.00016300569097626826,factorial_from_arm_losses,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,proprio,3,21,0.00017871694756372634,factorial_from_arm_losses,-9.573583834517778e-08,-1.796925024549405e-07,-1.3142326503619604e-08,21,-0.053568416230386114,-0.10305751784857872,-0.007243754741053692,
S27,pusht,bfloat16,proprio,3,21,0.00017871694756372634,output_interaction_mse,9.18679013545175e-06,8.993768754100002e-06,9.380544460902305e-06,21,5.140413520198444,4.752576259061731,5.535961481600788,
S27,pusht,bfloat16,proprio,3,21,0.00017871694756372634,additive_quadratic_cross,4.48815727751232e-06,4.403570244779418e-06,4.57125419943288e-06,21,2.51132158348438,2.3312908498700673,2.6960146494079273,
S27,pusht,bfloat16,proprio,3,21,0.00017871694756372634,nonadditive_mse_remainder,-4.583893507550929e-06,-4.688925422544794e-06,-4.47536703989399e-06,21,-2.5648902188844853,-2.771131370302804,-2.366950896174977,
S27,pusht,bfloat16,proprio,4,21,0.00019340917325125171,factorial_from_arm_losses,6.366568250826955e-08,-8.329904298713272e-08,2.1249846636370107e-07,21,0.03291761266440216,-0.044790108319267594,0.10580502847740426,
S27,pusht,bfloat16,proprio,5,21,0.00020663478997262372,factorial_from_arm_losses,-5.4983554580159754e-08,-2.0551075278832366e-07,7.76570169736995e-08,21,-0.026609049999491527,-0.10025728499616045,0.03746652087685669,
S27,pusht,bfloat16,proprio,6,21,0.00021926158162634133,factorial_from_arm_losses,-1.0650210632112567e-07,-2.9503905374092585e-07,7.637207988875967e-08,21,-0.04857308130825363,-0.13153799647943973,0.036253433014508424,
S27,pusht,bfloat16,proprio,6,21,0.00021926158162634133,output_interaction_mse,1.1005973989512531e-05,1.0655392711155564e-05,1.1368619494782509e-05,21,5.0195633488900775,4.570099559672325,5.542297910692413,
S27,pusht,bfloat16,proprio,6,21,0.00021926158162634133,additive_quadratic_cross,5.394894038142989e-06,5.2264224361264215e-06,5.586156815390157e-06,21,2.460483044100629,2.244781232123228,2.7145403157759773,
S27,pusht,bfloat16,proprio,6,21,0.00021926158162634133,nonadditive_mse_remainder,-5.501396074702166e-06,-5.731217322041696e-06,-5.274577159277772e-06,21,-2.5090560935921147,-2.7454033512236,-2.301633915247811,
S27,pusht,bfloat16,visual,1,21,0.06946783175518122,factorial_from_arm_losses,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,visual,1,21,0.06946783175518122,output_interaction_mse,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,visual,1,21,0.06946783175518122,additive_quadratic_cross,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,visual,1,21,0.06946783175518122,nonadditive_mse_remainder,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,visual,2,21,0.07740164316989868,factorial_from_arm_losses,0.0,0.0,0.0,21,0.0,0.0,0.0,
S27,pusht,bfloat16,visual,3,21,0.08362012926078144,factorial_from_arm_losses,1.519374888488762e-05,-1.2736997355448093e-05,4.8947450023919446e-05,21,0.018169965795560687,-0.015193785790119738,0.059452739087577575,
S27,pusht,bfloat16,visual,3,21,0.08362012926078144,output_interaction_mse,0.00012126458474087555,0.00011971543021500819,0.00012282484861751377,21,0.1450184134046175,0.12812935433848507,0.1656179100437249,
S27,pusht,bfloat16,visual,3,21,0.08362012926078144,additive_quadratic_cross,6.35298524602029e-05,6.0549242998845844e-05,6.649839377296202e-05,21,0.07597435333073438,0.06579446893295149,0.08859915797974612,
S27,pusht,bfloat16,visual,3,21,0.08362012926078144,nonadditive_mse_remainder,-4.8336338973525436e-05,-7.582741954089927e-05,-1.5008896326569079e-05,21,-0.05780466904419818,-0.09341162122901592,-0.01770826771326828,
S27,pusht,bfloat16,visual,4,21,0.09221706647984096,factorial_from_arm_losses,1.768239131389499e-05,-2.7021821807183032e-05,6.612555695948218e-05,21,0.019174749304956946,-0.030703023316579058,0.0695650046220773,
