task,bank,arm,modality,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,horizon
reach,fresh,donor_h3_B3,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,proprio,reference_spearman,100,100,0.7640256180624229,0.7585893926599184,0.7693642303803376,
reach,fresh,donor_h3_B3,proprio,reference_top10_overlap,100,100,4.54,4.260000000000001,4.82,
reach,fresh,donor_h3_B3,proprio,winner_changed,100,100,0.68,0.59,0.77,
reach,fresh,donor_h3_B3,proprio,selected_in_reference_minimum_set,100,100,0.32,0.23,0.41000000000000003,
reach,fresh,donor_h3_B3,proprio,excess_reference_cost,100,100,0.02977446688339114,0.023134489592630415,0.0370095397834666,
reach,fresh,donor_h3_B3,proprio,excess_reference_cost_percent,100,100,40.85124306319042,31.677788924808794,51.02477996795454,
reach,fresh,donor_h3_B3,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,visual,reference_spearman,100,100,0.7463070529176465,0.7400644704159942,0.7524673096033735,
reach,fresh,donor_h3_B3,visual,reference_top10_overlap,100,100,4.0,3.74,4.260000000000001,
reach,fresh,donor_h3_B3,visual,winner_changed,100,100,0.76,0.67,0.8400000000000001,
reach,fresh,donor_h3_B3,visual,selected_in_reference_minimum_set,100,100,0.24,0.16,0.32999999999999996,
reach,fresh,donor_h3_B3,visual,excess_reference_cost,100,100,0.11520429253578186,0.09067390760779381,0.1414225963354111,
reach,fresh,donor_h3_B3,visual,excess_reference_cost_percent,100,100,6.415205707016152,4.87036332240348,8.133098061388216,
reach,fresh,donor_h3_B3,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B3,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,official,reference_spearman,100,100,0.7951838200572584,0.7876356979524936,0.802369054604625,
reach,fresh,donor_h3_B4,official,reference_top10_overlap,100,100,4.45,4.1800000000000015,4.720000000000001,
reach,fresh,donor_h3_B4,official,winner_changed,100,100,0.69,0.6,0.78,
reach,fresh,donor_h3_B4,official,selected_in_reference_minimum_set,100,100,0.31,0.22000000000000003,0.4,
reach,fresh,donor_h3_B4,official,excess_reference_cost,100,100,0.09245489120483398,0.07196192753314973,0.11402254325151442,
reach,fresh,donor_h3_B4,official,excess_reference_cost_percent,100,100,4.954268959195875,3.740236745596825,6.256423951561616,
reach,fresh,donor_h3_B4,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,proprio,reference_spearman,100,100,0.8282935632618141,0.8233801715574617,0.8330346738297092,
reach,fresh,donor_h3_B4,proprio,reference_top10_overlap,100,100,5.2,4.950000000000001,5.450000000000001,
reach,fresh,donor_h3_B4,proprio,winner_changed,100,100,0.66,0.57,0.75,
reach,fresh,donor_h3_B4,proprio,selected_in_reference_minimum_set,100,100,0.34,0.25,0.43000000000000005,
reach,fresh,donor_h3_B4,proprio,excess_reference_cost,100,100,0.0199747053720057,0.015121062228921803,0.025149557169992474,
reach,fresh,donor_h3_B4,proprio,excess_reference_cost_percent,100,100,30.010746733814198,22.409792633157785,38.414414209117176,
reach,fresh,donor_h3_B4,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,visual,reference_spearman,100,100,0.7925706360133573,0.7849531761104473,0.7998810434560384,
reach,fresh,donor_h3_B4,visual,reference_top10_overlap,100,100,4.42,4.15,4.690000000000001,
reach,fresh,donor_h3_B4,visual,winner_changed,100,100,0.71,0.62,0.7999999999999999,
reach,fresh,donor_h3_B4,visual,selected_in_reference_minimum_set,100,100,0.29,0.2,0.38,
