task,episode,layer,horizon,head,T,H,W,action_tokens,spatial_distance_patches,temporal_distance_frames,conditioning_mass,visual_mass
reach,0,5,2,13,2,16,16,0,7.236801499402534,0.0002986825442774783,0.0,0.9999999925494194
reach,0,5,2,14,2,16,16,0,6.037042767361444,0.014596210078838618,0.0,0.9999999850988388
reach,0,5,2,15,2,16,16,0,6.9068338789554975,0.016101757882921085,0.0,0.9999999925494194
reach,0,0,3,0,2,16,16,0,8.101610363286811,0.12859513520147753,0.0,0.9999999925494194
reach,0,0,3,1,2,16,16,0,7.647489964962006,0.24076790735125542,0.0,1.0
reach,0,0,3,2,2,16,16,0,7.010818354866045,0.14878015331015104,0.0,0.9999999925494194
reach,0,0,3,3,2,16,16,0,7.865620910120166,0.10622779172828638,0.0,0.9999999925494194
reach,0,0,3,4,2,16,16,0,8.29411119222641,0.05810536164790392,0.0,1.0
reach,0,0,3,5,2,16,16,0,7.44029211580971,0.13499044541262423,0.0,0.9999999925494194
reach,0,0,3,6,2,16,16,0,7.872714459896088,0.2268737033009529,0.0,1.0
reach,0,0,3,7,2,16,16,0,8.108595788478851,0.24645379185676575,0.0,1.0
reach,0,0,3,8,2,16,16,0,7.244173228740692,0.0682502156123519,0.0,1.0
reach,0,0,3,9,2,16,16,0,6.982201628254366,0.04803206993663363,0.0,0.9999999925494194
reach,0,0,3,10,2,16,16,0,7.580854233956741,0.0979956637918626,0.0,0.9999999925494194
reach,0,0,3,11,2,16,16,0,7.500060077757091,0.21101787098510466,0.0,0.9999999925494194
reach,0,0,3,12,2,16,16,0,7.850642561912537,0.12601761147379875,0.0,1.0
reach,0,0,3,13,2,16,16,0,7.228309154510498,0.19340458512306213,0.0,1.0
reach,0,0,3,14,2,16,16,0,6.83619499206543,0.24900295957922935,0.0,1.0
reach,0,0,3,15,2,16,16,0,6.934127203629369,0.10429837818666084,0.0,0.9999999925494194
reach,0,1,3,0,2,16,16,0,7.803900241851807,0.18293244391679764,0.0,1.0
reach,0,1,3,1,2,16,16,0,7.868376553058624,0.202998835593462,0.0,1.0
reach,0,1,3,2,2,16,16,0,7.172564506530762,0.1196783110499382,0.0,1.0
reach,0,1,3,3,2,16,16,0,6.8488784260880715,0.07645625362480064,0.0,0.9999999850988388
reach,0,1,3,4,2,16,16,0,7.8825951192363,0.24837370772004963,0.0,0.9999999776482582
reach,0,1,3,5,2,16,16,0,7.260792834925492,0.24015567243447167,0.0,0.9999999776482582
reach,0,1,3,6,2,16,16,0,8.106853187084198,0.1577177420258522,0.0,1.0
reach,0,1,3,7,2,16,16,0,7.996594071388245,0.20730245672166348,0.0,1.0
reach,0,1,3,8,2,16,16,0,7.277664542198181,0.22947414964437485,0.0,1.0
reach,0,1,3,9,2,16,16,0,8.343254625797272,0.09932531230151653,0.0,1.0
reach,0,1,3,10,2,16,16,0,7.526738703250885,0.11918250378221273,0.0,1.0
reach,0,1,3,11,2,16,16,0,7.478030439302552,0.025944310899408986,0.0,0.9999999925494194
reach,0,1,3,12,2,16,16,0,7.644895553588867,0.21746304631233215,0.0,1.0
reach,0,1,3,13,2,16,16,0,8.01015430688858,0.3432600386440754,0.0,1.0
reach,0,1,3,14,2,16,16,0,6.15224826335907,0.10681564453989267,0.0,1.0
