task,condition,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,both_positive_count,both_zero_count,linear_zero_count,cubic_zero_count
reach,float32_field_bfloat16_roundtrip,4,exact_unchanged_fraction_mean,32,32,0.55163764953613281,0.54743739891052245,0.55575457572937026,32,0,0,0
reach,float32_field_bfloat16_roundtrip,5,linear_center_mse,32,32,0.003329661292852702,0.0032480534714951106,0.0034133115031723181,32,0,0,0
reach,float32_field_bfloat16_roundtrip,5,cubic_center_mse,32,32,0.0032930911435495921,0.0032119175128069986,0.0033775286489718024,32,0,0,0
reach,float32_field_bfloat16_roundtrip,5,log_ratio,32,32,-0.011080411609247137,-0.016097192685280544,-0.0060042714053041672,32,0,0,0
reach,float32_field_bfloat16_roundtrip,5,donor_response_rms_mean,32,32,0.10616368917427899,0.104537518693189,0.10784240159830401,32,0,0,0
reach,float32_field_bfloat16_roundtrip,5,exact_unchanged_fraction_mean,32,32,0.52755432128906254,0.52093519592285165,0.53394169807434089,32,0,0,0
reach,bfloat16,0,linear_center_mse,32,32,6.6357535508715024e-05,6.4673707558041206e-05,6.8050106931355169e-05,32,0,0,0
reach,bfloat16,0,cubic_center_mse,32,32,8.4384393100970798e-05,8.2002386431614144e-05,8.6764893631447132e-05,32,0,0,0
reach,bfloat16,0,log_ratio,32,32,0.2397421682704472,0.2261256617674294,0.25395559340122958,32,0,0,0
reach,bfloat16,0,donor_response_rms_mean,32,32,0.011263264180596276,0.011170713388635574,0.011357415282929965,32,0,0,0
reach,bfloat16,0,exact_unchanged_fraction_mean,32,32,0.091811981201171872,0.091448587417602548,0.092185073852539073,32,0,0,0
reach,bfloat16,1,linear_center_mse,32,32,0.00011735575117731207,0.00011492396681208213,0.00011993552707935473,32,0,0,0
reach,bfloat16,1,cubic_center_mse,32,32,0.00013769542357904536,0.0001352428520353947,0.00014026022019750101,32,0,0,0
reach,bfloat16,1,log_ratio,32,32,0.16032608989106029,0.14985709058585739,0.17074987679787967,32,0,0,0
reach,bfloat16,1,donor_response_rms_mean,32,32,0.015114841700013803,0.01501727051705427,0.015216549840955983,32,0,0,0
reach,bfloat16,1,exact_unchanged_fraction_mean,32,32,0.028028793334960937,0.027879028320312499,0.028173980712890626,32,0,0,0
reach,bfloat16,2,linear_center_mse,32,32,0.00021039600885972164,0.00020785116903209016,0.00021292485717078235,32,0,0,0
reach,bfloat16,2,cubic_center_mse,32,32,0.00027198188838236281,0.00026875023351583839,0.00027529149165760828,32,0,0,0
reach,bfloat16,2,log_ratio,32,32,0.25675804818670006,0.2465124901438738,0.26717217764666845,32,0,0,0
reach,bfloat16,2,donor_response_rms_mean,32,32,0.02091303102767985,0.020815039867207827,0.021014533706509259,32,0,0,0
reach,bfloat16,2,exact_unchanged_fraction_mean,32,32,0.014750900268554688,0.014635314941406252,0.014861452102661134,32,0,0,0
reach,bfloat16,3,linear_center_mse,32,32,0.00043568556206279426,0.00043077974081904793,0.00044099120298728763,32,0,0,0
reach,bfloat16,3,cubic_center_mse,32,32,0.00056579540839612357,0.00055973139838833529,0.0005721055292740939,32,0,0,0
reach,bfloat16,3,log_ratio,32,32,0.26137743952110892,0.25455966992750451,0.26827890308425772,32,0,0,0
reach,bfloat16,3,donor_response_rms_mean,32,32,0.031660110398954035,0.031471493121029696,0.031858153939877329,32,0,0,0
reach,bfloat16,3,exact_unchanged_fraction_mean,32,32,0.0089553833007812497,0.0088823680877685544,0.0090287799835205088,32,0,0,0
reach,bfloat16,4,linear_center_mse,32,32,0.0014349704477543729,0.0014127613843584086,0.0014615255748625037,32,0,0,0
reach,bfloat16,4,cubic_center_mse,32,32,0.0019411564368326849,0.0019127033615524754,0.0019732959167019564,32,0,0,0
reach,bfloat16,4,log_ratio,32,32,0.30230090584281227,0.29206462783515413,0.31296090409694793,32,0,0,0
reach,bfloat16,4,donor_response_rms_mean,32,32,0.058451496649258472,0.057985140858313126,0.058927030039823254,32,0,0,0
reach,bfloat16,4,exact_unchanged_fraction_mean,32,32,0.0051055908203124995,0.0050495910644531251,0.0051598358154296871,32,0,0,0
reach,bfloat16,5,linear_center_mse,32,32,0.0089369693446518326,0.0087819544109240359,0.0090946243047436183,32,0,0,0
reach,bfloat16,5,cubic_center_mse,32,32,0.011955834273066922,0.011707603552154522,0.012208405423185908,32,0,0,0
reach,bfloat16,5,log_ratio,32,32,0.29046697403631938,0.27619103929235422,0.30546479886768996,32,0,0,0
reach,bfloat16,5,donor_response_rms_mean,32,32,0.14738177182195764,0.1459841879366684,0.14877073388310938,32,0,0,0
reach,bfloat16,5,exact_unchanged_fraction_mean,32,32,0.0026190185546875002,0.0025674438476562503,0.0026667022705078123,32,0,0,0
reach-wall,float32,0,linear_center_mse,32,32,4.1167068977694957e-10,4.0766152860044422e-10,4.1578822243162723e-10,32,0,0,0
reach-wall,float32,0,cubic_center_mse,32,32,1.7438995901105017e-12,1.721600802401281e-12,1.7664261749593122e-12,32,0,0,0
reach-wall,float32,0,log_ratio,32,32,-5.4643844535122517,-5.4812237499337728,-5.4477114636568142,32,0,0,0
reach-wall,float32,0,donor_response_rms_mean,32,32,0.0038822668021067032,0.0038683478487203599,0.0038964425585848229,32,0,0,0
reach-wall,float32,0,exact_unchanged_fraction_mean,32,32,5.6228637695312501e-05,5.14984130859375e-05,6.103515625e-05,32,0,0,0
reach-wall,float32,1,linear_center_mse,32,32,1.4916775773825676e-09,1.4613756602827935e-09,1.5223759156142852e-09,32,0,0,0
reach-wall,float32,1,cubic_center_mse,32,32,3.6278905014999019e-12,3.5998759603277562e-12,3.6558837670366043e-12,32,0,0,0
reach-wall,float32,1,log_ratio,32,32,-6.0175525958280378,-6.0371609685516532,-5.9981382381297905,32,0,0,0
reach-wall,float32,1,donor_response_rms_mean,32,32,0.0061318824005420431,0.0061013691558473261,0.0061640212937276867,32,0,0,0
reach-wall,float32,1,exact_unchanged_fraction_mean,32,32,3.7155151367187494e-05,3.3493041992187504e-05,4.0817260742187497e-05,32,0,0,0
