task,precision,arm,endpoint,horizon,n,native_mean,learned_mean,random_mean,reduction_vs_native_percent,advantage_vs_random_percent,source_sha256
reach,float32,single_block0,proprio_mse,3,33,0.0003841091223196168,0.00036205191934990437,0.0003826161180547911,5.742431431076149,5.353738692978838,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block1,proprio_mse,3,33,0.0003841091223196168,0.0003628077527463749,0.00038357221521547407,5.545655735694049,5.405875898938196,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block2,proprio_mse,3,33,0.0003841091223196168,0.00036653695669791874,0.00038353949012253914,4.5747847683441005,4.426485193046942,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block3,proprio_mse,3,33,0.0003841091223196168,0.000368562821629416,0.0003840786293049042,4.047365653884347,4.039427020579195,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block4,proprio_mse,3,33,0.0003841091223196168,0.00037426147838517075,0.0003842918920230604,2.563762056724029,2.6113448119420957,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block5,proprio_mse,3,33,0.0003841091223196168,0.0003799427152251045,0.00038421589860162283,1.0846936072102518,1.112492031095954,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,intermediate_blocks2_3,proprio_mse,3,33,0.0003841091223196168,0.0003619179142903033,0.000383782590565394,5.777318668013353,5.69230851458329,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,all_six_blocks,proprio_mse,3,33,0.0003841091223196168,0.00036569843453830206,0.000385060873460786,4.793087878291836,5.0408693252467165,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block0,proprio_mse,4,33,0.00048644012430752747,0.0004696238803326839,0.00048501333712001627,3.4570018250000203,3.163689839369249,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
reach,float32,single_block1,proprio_mse,4,33,0.00048644012430752747,0.00047043689739641404,0.0004858390361209096,3.289865722712503,3.1662969304642177,ee5e0b665d0caade3af2a48e69b6fae5c4d0eb908c259b1d9bbabb8b14b100a9
