task,bank,modality,metric,layer,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_95_low,simultaneous_95_high
reach,original,official,excess_top10_overlap_loss,3,8,8,0.0,0.0,0.0,-0.08750000000000001,0.08750000000000001
reach,original,official,excess_top10_overlap_loss,4,8,8,0.0125,-0.037500000000000006,0.0625,-0.07500000000000001,0.1
reach,original,official,excess_top10_overlap_loss,5,8,8,0.0,-0.037500000000000006,0.037500000000000006,-0.08750000000000001,0.08750000000000001
reach,fresh,visual,excess_spearman_loss,0,8,8,0.001527405860065112,0.0011936229846998166,0.001878693096589958,-0.00027991977688638747,0.0033347314970166115
reach,fresh,visual,excess_spearman_loss,1,8,8,0.00798572771889862,0.006568267524896421,0.009717635851211215,0.00617840208194712,0.009793053355850118
reach,fresh,visual,excess_spearman_loss,2,8,8,0.0023544289672920993,0.001768033562898716,0.0030901548496276407,0.0005471033303405999,0.004161754604243599
reach,fresh,visual,excess_spearman_loss,3,8,8,-0.00017150190557670142,-0.0003072811920131896,-5.094501050006972e-05,-0.001978827542528201,0.001635823731374798
reach,fresh,visual,excess_spearman_loss,4,8,8,0.00808658985099836,0.006163624040267143,0.009642329359215121,0.006279264214046861,0.009893915487949859
reach,fresh,visual,excess_spearman_loss,5,8,8,-0.0003840042667140886,-0.00046784130934791055,-0.00029516994633276006,-0.002191329903665588,0.0014233213702374108
reach,fresh,visual,excess_top10_overlap_loss,0,8,8,0.037500000000000006,0.0125,0.07500000000000001,-0.02500000000000001,0.10000000000000002
reach,fresh,visual,excess_top10_overlap_loss,1,8,8,0.0875,0.05,0.12500000000000003,0.02499999999999998,0.15000000000000002
reach,fresh,visual,excess_top10_overlap_loss,2,8,8,0.0125,-0.025000000000000005,0.05,-0.05000000000000002,0.07500000000000001
reach,fresh,visual,excess_top10_overlap_loss,3,8,8,0.0125,-0.025,0.05,-0.05000000000000002,0.07500000000000001
reach,fresh,visual,excess_top10_overlap_loss,4,8,8,0.025000000000000005,-0.037500000000000006,0.08750000000000001,-0.037500000000000006,0.08750000000000002
reach,fresh,visual,excess_top10_overlap_loss,5,8,8,-0.0625,-0.08750000000000001,-0.025,-0.125,1.3877787807814457e-17
reach,fresh,proprio,excess_spearman_loss,0,8,8,0.0006666740741563953,0.0005468949654996585,0.0007885643173813073,-0.0010803370037444616,0.0024136851520572523
reach,fresh,proprio,excess_spearman_loss,1,8,8,0.005771286347626081,0.005141168235202623,0.006360626229180322,0.004024275269725224,0.0075182974255269385
reach,fresh,proprio,excess_spearman_loss,2,8,8,0.0014015850648168432,0.0010751230569228665,0.0018585069028028006,-0.0003454260130840137,0.0031485961427177
reach,fresh,proprio,excess_spearman_loss,3,8,8,-0.0003422260247336051,-0.0004445604951165971,-0.0002387790419893282,-0.002089237102634462,0.0014047850531672518
reach,fresh,proprio,excess_spearman_loss,4,8,8,0.010707896754408391,0.008834431493683279,0.012353470594117719,0.008960885676507534,0.012454907832309249
reach,fresh,proprio,excess_spearman_loss,5,8,8,-0.00046567184079822355,-0.0006111179013100487,-0.00034328159201767183,-0.0022126829186990805,0.0012813392371026334
reach,fresh,proprio,excess_top10_overlap_loss,0,8,8,0.0125,0.0,0.037500000000000006,-0.075,0.09999999999999999
reach,fresh,proprio,excess_top10_overlap_loss,1,8,8,0.0875,0.025,0.15000000000000002,0.0,0.175
reach,fresh,proprio,excess_top10_overlap_loss,2,8,8,0.037500000000000006,0.0125,0.07500000000000001,-0.04999999999999999,0.125
reach,fresh,proprio,excess_top10_overlap_loss,3,8,8,0.0125,-0.037500000000000006,0.07500000000000001,-0.075,0.09999999999999999
reach,fresh,proprio,excess_top10_overlap_loss,4,8,8,0.1,0.0125,0.1875,0.012500000000000011,0.1875
reach,fresh,proprio,excess_top10_overlap_loss,5,8,8,0.0,0.0,0.0,-0.0875,0.0875
reach,fresh,official,excess_spearman_loss,0,8,8,0.0013789597662196146,0.0010827898087756443,0.001727741419349102,-0.000400414843811641,0.0031583343762508704
reach,fresh,official,excess_spearman_loss,1,8,8,0.0077039469300316105,0.006264347766988768,0.009476479040572618,0.005924572320000355,0.009483321540062865
reach,fresh,official,excess_spearman_loss,2,8,8,0.002272761396547529,0.001694435558792437,0.0030351587565182053,0.0004933867865162735,0.004052136006578785
reach,fresh,official,excess_spearman_loss,3,8,8,-0.00015237668205482502,-0.00029342025235055865,-2.150023889153918e-05,-0.0019317512920860806,0.0016269979279764305
reach,fresh,official,excess_spearman_loss,4,8,8,0.008143479489470945,0.006346681747273833,0.00961520615454683,0.006364104879439689,0.0099228540995022
reach,fresh,official,excess_spearman_loss,5,8,8,-0.0003559622960942338,-0.00040756147290525285,-0.0002962949664572362,-0.0021353369061254896,0.0014234123139370218
reach,fresh,official,excess_top10_overlap_loss,0,8,8,0.05,0.0125,0.0875,-0.012499999999999997,0.1125
reach,fresh,official,excess_top10_overlap_loss,1,8,8,0.1,0.05,0.15000000000000002,0.037500000000000006,0.1625
reach,fresh,official,excess_top10_overlap_loss,2,8,8,0.037500000000000006,0.0125,0.07500000000000001,-0.024999999999999994,0.1
reach,fresh,official,excess_top10_overlap_loss,3,8,8,-0.0125,-0.05,0.025000000000000005,-0.075,0.05
reach,fresh,official,excess_top10_overlap_loss,4,8,8,0.05,-0.0125,0.1125,-0.012499999999999997,0.1125
reach,fresh,official,excess_top10_overlap_loss,5,8,8,-0.05,-0.0875,-0.0125,-0.1125,0.012499999999999997
reach-wall,original,visual,excess_spearman_loss,0,8,8,0.0010848454050417372,0.0009479549772775375,0.0012468472050617269,-0.0009021212543301321,0.0030718120644136065
reach-wall,original,visual,excess_spearman_loss,1,8,8,0.008421010345724247,0.007570714207516715,0.009333881487572082,0.006434043686352378,0.010407977005096117
reach-wall,original,visual,excess_spearman_loss,2,8,8,0.0021122596525903203,0.0017609542891493333,0.0024219158297997256,0.000125292993218451,0.00409922631196219
reach-wall,original,visual,excess_spearman_loss,3,8,8,-0.00032322582364506525,-0.0004657829832186433,-0.00018133395926625908,-0.0023101924830169346,0.001663740835726804
reach-wall,original,visual,excess_spearman_loss,4,8,8,0.008181646600260079,0.00627101412237914,0.010235724978908747,0.006194679940888209,0.010168613259631948
reach-wall,original,visual,excess_spearman_loss,5,8,8,-0.0003432677151205682,-0.00037629622164771887,-0.0003086701056609638,-0.0023302343744924375,0.0016436989442513011
reach-wall,original,visual,excess_top10_overlap_loss,0,8,8,0.05,0.0125,0.0875,-0.05,0.15000000000000002
reach-wall,original,visual,excess_top10_overlap_loss,1,8,8,0.125,0.037500000000000006,0.22500000000000003,0.024999999999999994,0.225
reach-wall,original,visual,excess_top10_overlap_loss,2,8,8,0.075,0.025,0.1375,-0.02500000000000001,0.175
reach-wall,original,visual,excess_top10_overlap_loss,3,8,8,0.0,-0.05,0.05,-0.1,0.1
reach-wall,original,visual,excess_top10_overlap_loss,4,8,8,0.1125,0.0625,0.16250000000000003,0.012499999999999997,0.21250000000000002
reach-wall,original,visual,excess_top10_overlap_loss,5,8,8,-0.025,-0.0625,0.025,-0.125,0.07500000000000001
reach-wall,original,proprio,excess_spearman_loss,0,8,8,0.0005696174401937787,0.0004751163901821065,0.0006940077111967924,-0.0014166824075823037,0.002555917287969861
