source_id,task,category,precision,candidate,control,endpoint,error_reduction_percent_of_native,simultaneous_95_lower,simultaneous_95_upper,statistical_result,beats_control_by_frozen_minimum,independent_lineages,source,source_sha256
S02,reach,vision_action_coupling,float32,joint_equal_standardized_energy,native,proprio_mse_h6,2.091267424714784,1.3294198463648537,2.853115003064714,positive,True,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,permuted_visual,native,visual_mse_h6,-0.0198468419778802,-0.06466674052452345,0.024973056568763054,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,permuted_visual,native,proprio_mse_h6,0.10983356286314186,-0.034979417872324045,0.2546465435986078,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,permuted_joint,native,visual_mse_h6,-0.003445176857979606,-0.044699813318060264,0.037809459602101046,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,permuted_joint,native,proprio_mse_h6,0.6869341101609274,0.4757540589363919,0.8981141613854629,positive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,matched_random,native,visual_mse_h6,-0.2835420450254176,-0.3623512334116082,-0.20473285663922697,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,matched_random,native,proprio_mse_h6,-2.315691686188118,-2.8812304630739063,-1.7501529093023296,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,matched_random_equal_standardized_energy,native,visual_mse_h6,-0.19584083637038885,-0.25122405833243233,-0.1404576144083454,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S02,reach,vision_action_coupling,float32,matched_random_equal_standardized_energy,native,proprio_mse_h6,-1.6084613381929034,-2.005813324974228,-1.211109351411579,negative,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/float32/reach/vision_action_coupling/report.json,0572f8ac77ab83246db9f8e84876f3f5924a8356cb4501594df523b239bef285
S03,reach,action_response_geometry,bfloat16,cubic,equal_anchor_linear,visual_mse_h6,-0.010203963117069066,-0.0288750987480195,0.008467172513881361,inconclusive,False,33,artifacts/offline_study/primary-durable-20260907/metaworld-author-extension-20260907/analysis-full-v1/bfloat16/reach/action_response_geometry/report.json,371d96899c5fb5f7fd6d01049e466c739eea1fd746e307aeeec9223c078273b5
