cohort,task,episode,metric,learned,random,effect
extension56,reach-wall,23,selected_prefix_rms_learned_minus_random,0.1719753135486666,2.7446567686757925e-07,0.17197503908298972
extension56,reach-wall,23,mean_proposal_mean_rms_learned_minus_random,0.005657400099725967,8.528487726215743e-08,0.005657314814848705
extension56,reach-wall,23,mean_proposal_entropy_delta_learned_minus_random,0.2772202828677235,-1.830033133624435e-06,0.27722211290085713
extension56,reach-wall,24,selected_prefix_rms_learned_minus_random,0.8982794881073883,0.5868397669101979,0.31143972119719043
extension56,reach-wall,24,mean_proposal_mean_rms_learned_minus_random,0.3807814889438964,0.151433042581115,0.2293484463627814
extension56,reach-wall,24,mean_proposal_entropy_delta_learned_minus_random,2.5112537104117507,1.4385285281162148,1.072725182295536
extension56,reach-wall,25,selected_prefix_rms_learned_minus_random,1.185133126482403,1.6483037084339824e-07,1.185132961652032
extension56,reach-wall,25,mean_proposal_mean_rms_learned_minus_random,0.3726488642307176,0.0,0.3726488642307176
extension56,reach-wall,25,mean_proposal_entropy_delta_learned_minus_random,-2.4107660727990985,0.0,-2.4107660727990985
extension56,reach-wall,26,selected_prefix_rms_learned_minus_random,0.3324688690157562,1.6825978639972532e-07,0.3324687007559698
extension56,reach-wall,26,mean_proposal_mean_rms_learned_minus_random,0.05960558329016439,6.515775576692239e-08,0.05960551813240862
extension56,reach-wall,26,mean_proposal_entropy_delta_learned_minus_random,0.6406545135473887,-1.0612220374165796e-06,0.6406555747694261
extension56,reach-wall,27,selected_prefix_rms_learned_minus_random,0.7746146207661475,5.826948280331636e-07,0.7746140380713195
extension56,reach-wall,27,mean_proposal_mean_rms_learned_minus_random,0.40971296187189227,2.5111703354786745e-07,0.4097127107548587
extension56,reach-wall,27,mean_proposal_entropy_delta_learned_minus_random,1.3029881574791735,1.6966350182556766e-06,1.3029864608441553
extension56,reach-wall,28,selected_prefix_rms_learned_minus_random,0.18170965792144456,3.584654016311464e-07,0.18170929945604292
extension56,reach-wall,28,mean_proposal_mean_rms_learned_minus_random,0.012853148163956713,9.565302627855952e-08,0.012853052510930434
extension56,reach-wall,28,mean_proposal_entropy_delta_learned_minus_random,0.13146063519891887,1.7809712436663478e-07,0.13146045710179452
extension56,reach-wall,29,selected_prefix_rms_learned_minus_random,1.2627943044180048,0.5357374875507304,0.7270568168672744
extension56,reach-wall,29,mean_proposal_mean_rms_learned_minus_random,0.43780251413106885,0.20838045621993667,0.22942205791113218
extension56,reach-wall,29,mean_proposal_entropy_delta_learned_minus_random,4.713060691014404,0.3460051631384455,4.367055527875959
extension56,reach-wall,30,selected_prefix_rms_learned_minus_random,0.9815879465069198,0.932425587377097,0.04916235912982281
extension56,reach-wall,30,mean_proposal_mean_rms_learned_minus_random,0.462166360353731,0.4621024198941122,6.394045961877204e-05
extension56,reach-wall,30,mean_proposal_entropy_delta_learned_minus_random,5.336032997944547,5.2027111214804025,0.1333218764641444
extension56,reach-wall,31,selected_prefix_rms_learned_minus_random,0.11217374618132737,0.08697496025215312,0.025198785929174253
extension56,reach-wall,31,mean_proposal_mean_rms_learned_minus_random,0.004615882837973962,0.0036749998088747918,0.0009408830290991701
extension56,reach-wall,31,mean_proposal_entropy_delta_learned_minus_random,-0.0008318863292764433,-0.129046405484234,0.12821451915495755
