task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,all_blocks_persistent_donor,visual,4,centered_cost_change_rms,8,8,0.10326634392518957,0.086846132480866395,0.12479529317641333
reach,fresh,all_blocks_persistent_donor,visual,6,donor_reconstruction,8,8,1,1,1
reach,fresh,all_blocks_persistent_donor,visual,6,numerator_mse_mean,8,8,0,0,0
reach,fresh,all_blocks_persistent_donor,visual,6,denominator_mse_mean,8,8,0.17446333220155236,0.16417999203502295,0.18571190346666477
reach,fresh,all_blocks_persistent_donor,visual,6,native_spearman,8,8,0.74755225058056207,0.72166746297181084,0.77230935899287767
reach,fresh,all_blocks_persistent_donor,visual,6,spearman_loss,8,8,0.25244774941943798,0.22769064100712233,0.27833253702818922
reach,fresh,all_blocks_persistent_donor,visual,6,native_top10_overlap,8,8,4.625,3.375,5.75
reach,fresh,all_blocks_persistent_donor,visual,6,centered_cost_change_rms,8,8,0.10326634392518957,0.086846132480866395,0.12479529317641333
reach,fresh,coherent_raw_h3,official,3,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,official,3,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,official,3,denominator_mse_mean,8,8,0.045206001291607442,0.042550810582946914,0.047850867946738089
reach,fresh,coherent_raw_h3,official,3,native_spearman,8,8,0.74901148901654468,0.72294274380826451,0.77345721063567385
reach,fresh,coherent_raw_h3,official,3,spearman_loss,8,8,0.25098851098345537,0.22654278936432626,0.27705725619173549
reach,fresh,coherent_raw_h3,official,3,native_top10_overlap,8,8,5,3.75,6.125
reach,fresh,coherent_raw_h3,official,3,centered_cost_change_rms,8,8,0.10668660345410716,0.090137396365644537,0.12839346221642522
reach,fresh,coherent_raw_h3,official,4,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,official,4,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,official,4,denominator_mse_mean,8,8,0.15735417205709912,0.14749186776122747,0.16774013421668596
reach,fresh,coherent_raw_h3,official,4,native_spearman,8,8,0.74901148901654468,0.72294274380826451,0.77345721063567385
reach,fresh,coherent_raw_h3,official,4,spearman_loss,8,8,0.25098851098345537,0.22654278936432626,0.27705725619173549
reach,fresh,coherent_raw_h3,official,4,native_top10_overlap,8,8,5,3.75,6.125
reach,fresh,coherent_raw_h3,official,4,centered_cost_change_rms,8,8,0.10668660345410716,0.090137396365644537,0.12839346221642522
reach,fresh,coherent_raw_h3,official,6,donor_reconstruction,8,8,1,1,1
reach,fresh,coherent_raw_h3,official,6,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,official,6,denominator_mse_mean,8,8,0.17485366522844392,0.16454510467935715,0.18612528250334948
