source_id,task,precision,control,intervention,metric,control_mean,intervention_mean,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_proprio_mse_h1,0.00015912717820553747,0.00015912717820553747,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_proprio_mse_h2,0.0003824993663408431,0.0003824993663408431,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_proprio_mse_h3,0.0008175157258617524,0.0008180903172874274,-5.745914256749562e-07,-8.706427103046283e-07,-2.6385466722305137e-07,200,-0.07024796470411102,-0.12095010473742673,-0.028259473712997567
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_proprio_mse_h4,0.001423686537422696,0.0014243420260337733,-6.554886110771749e-07,-1.5805565999951212e-06,8.946329826341532e-08,200,-0.04603578718042579,-0.11094457602901193,0.006132261272563078
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_proprio_mse_h5,0.0022867467245855106,0.0022882913578880226,-1.544633302512263e-06,-3.0924336678911524e-06,-1.9878156142214188e-07,200,-0.06753950967835473,-0.13536772715230427,-0.008902621897474261
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_proprio_mse_h6,0.0032067828812525332,0.0032034482494629223,3.3346317896109685e-06,-1.7264109019253178e-06,1.156661073126984e-05,200,0.10406408036606865,-0.056919187354832805,0.357433686033916
S40,pointmaze,bfloat16,reflected_curvature,cubic,raw_native_proprio_fidelity_mse_h3,3.7944367608873354e-07,1.9887687497241138e-07,1.8056680111632216e-07,1.7057130277978672e-07,1.9140611421065874e-07,200,47.58724746122697,46.26083411943141,48.88302848208995
S40,pointmaze,bfloat16,reflected_curvature,cubic,delivered_native_proprio_fidelity_mse_h3,1.815530832774005e-07,1.6954798269920827e-07,1.200510057819222e-08,9.257301985461446e-09,1.481256075125119e-08,200,6.612446542617654,5.161200067612302,8.043605842837133
S40,pointmaze,bfloat16,reflected_curvature,cubic,raw_native_proprio_fidelity_mse_h6,2.7790460059754985e-06,1.1201080740582917e-06,1.658937931917207e-06,8.499805743707157e-07,2.8336813959971276e-06,200,59.69451129452922,44.856582400750916,70.59902740678629
S40,pointmaze,bfloat16,reflected_curvature,cubic,delivered_native_proprio_fidelity_mse_h6,1.5709147014260327e-06,1.2311418005405702e-06,3.397729008854623e-07,-7.143104503471251e-08,1.0057150409751942e-06,200,21.628984729535343,-7.52378105670295,36.51039062758313
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_visual_mse_h1,0.00594787568618738,0.00594787568618738,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_visual_mse_h2,0.01140437523721809,0.01140437523721809,0.0,0.0,0.0,200,0.0,0.0,0.0
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_visual_mse_h3,0.02011340158094068,0.020130196938650934,-1.6795357710254295e-05,-2.0105319451058913e-05,-1.349219255882684e-05,200,-0.08343995648800559,-0.10002399811295891,-0.06696921381026036
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_visual_mse_h4,0.02810880325829561,0.02811679696146071,-7.993703165099587e-06,-1.2395525852611557e-05,-3.5849359868381066e-06,200,-0.02843315114804185,-0.043816963603707695,-0.012826846600834777
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_visual_mse_h5,0.03628588609081086,0.03629151023433879,-5.624143527935355e-06,-1.4285790780034268e-05,2.7720736345412443e-06,200,-0.015500076721193742,-0.03930203156612523,0.007624716717036984
S40,pointmaze,bfloat16,reflected_curvature,cubic,recorded_visual_mse_h6,0.04299859170797643,0.04300857516266138,-9.983454684948213e-06,-2.3305196819834337e-05,2.5444711155599674e-06,200,-0.023215924196072494,-0.05412261108401729,0.005907826355431806
S40,pointmaze,bfloat16,reflected_curvature,cubic,raw_native_visual_fidelity_mse_h3,3.849540745250124e-05,3.0263572331679203e-05,8.23183512082204e-06,8.035751328975494e-06,8.434232538322293e-06,200,21.383940749241702,20.983768126030537,21.78872099739385
S40,pointmaze,bfloat16,reflected_curvature,cubic,delivered_native_visual_fidelity_mse_h3,2.9647356934413543e-05,2.891647332862554e-05,7.308836057879981e-07,6.639408288086343e-07,7.983305293304302e-07,200,2.4652572146814737,2.2428258655999027,2.688769696678111
S40,pointmaze,bfloat16,reflected_curvature,cubic,raw_native_visual_fidelity_mse_h6,0.00011924436122954518,6.848996100356477e-05,5.0754400225980404e-05,3.7001391629302345e-05,6.87211380506231e-05,200,42.56335452900643,35.1765692244725,49.89632840997137
S40,pointmaze,bfloat16,reflected_curvature,cubic,delivered_native_visual_fidelity_mse_h6,6.562074794705726e-05,6.400782239705252e-05,1.6129255500047415e-06,-1.4820996792594553e-06,4.717327519178756e-06,200,2.457950572745754,-2.3089642722712336,6.896174223810666
S41,pointmaze,float32,equal_anchor_linear,cubic,omitted_activation_mse,1.2530549439379197e-05,1.7850402627143754e-09,1.2528764399116483e-05,1.1491314395939442e-05,1.3594983656188047e-05,200,99.98575449327781,99.98348222722035,99.98769260243058
S41,pointmaze,float32,equal_anchor_linear,cubic,recorded_proprio_mse_h1,0.00015954143577266117,0.00015954143577266117,0.0,0.0,0.0,200,0.0,0.0,0.0
S41,pointmaze,float32,equal_anchor_linear,cubic,recorded_proprio_mse_h2,0.0003821947029777422,0.0003821947029777422,0.0,0.0,0.0,200,0.0,0.0,0.0
S41,pointmaze,float32,equal_anchor_linear,cubic,recorded_proprio_mse_h3,0.000822019238855233,0.0008222484930372948,-2.292541820619938e-07,-2.738158012584494e-07,-1.8305768910651292e-07,200,-0.027880201557628926,-0.03894118778465214,-0.018595209059450942
S41,pointmaze,float32,equal_anchor_linear,cubic,recorded_proprio_mse_h4,0.001432197125113481,0.0014323521844492976,-1.5505933581647354e-07,-2.6902450509652183e-07,-6.372012993312062e-08,200,-0.010825218351947054,-0.019500274722128556,-0.004307706946359419
S41,pointmaze,float32,equal_anchor_linear,cubic,recorded_proprio_mse_h5,0.0023098740298379667,0.002310251271355046,-3.772415170790299e-07,-5.293902961587088e-07,-2.2991827171994099e-07,200,-0.01632900611663135,-0.023790364175113723,-0.00978392536395724
S41,pointmaze,float32,equal_anchor_linear,cubic,recorded_proprio_mse_h6,0.003243908223125651,0.003244364753242761,-4.5653011711013226e-07,-8.667926395429286e-07,-1.198426384576715e-07,200,-0.014072445870045334,-0.026350600816955984,-0.0036897107762936614
